2025-04-28 11:54:35,537 | WARNING  | django.request | Not Found: /favicon.ico
2025-04-28 11:55:57,544 | INFO     | app.views | ocr_extracted view called
2025-04-28 11:55:57,544 | INFO     | app.views | Session extracted_data exists: False
2025-04-28 11:55:57,548 | INFO     | app.views | Processing latest upload: C:\Users\M.Hussain\OneDrive - Cedar Financial\Documents\Uni Working\grademate_folder\app\uploads\Evaluation_of_Regression_Models_V2_ZxthmLy.pdf
2025-04-28 11:55:58,261 | INFO     | app.pdf_extractor | Total pages in PDF: 8
2025-04-28 11:55:58,493 | INFO     | app.pdf_extractor | Successfully extracted 8 page images
2025-04-28 11:56:00,711 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:56:00,716 | INFO     | app.pdf_extractor | Successfully extracted text from page 1
2025-04-28 11:56:02,376 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:56:02,377 | INFO     | app.pdf_extractor | Successfully extracted text from page 2
2025-04-28 11:56:03,552 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:56:03,553 | INFO     | app.pdf_extractor | Successfully extracted text from page 3
2025-04-28 11:56:05,549 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:56:05,550 | INFO     | app.pdf_extractor | Successfully extracted text from page 4
2025-04-28 11:56:06,668 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:56:06,669 | INFO     | app.pdf_extractor | Successfully extracted text from page 5
2025-04-28 11:56:07,969 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:56:07,971 | INFO     | app.pdf_extractor | Successfully extracted text from page 6
2025-04-28 11:56:10,447 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:56:10,448 | INFO     | app.pdf_extractor | Successfully extracted text from page 7
2025-04-28 11:56:13,347 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:56:13,348 | INFO     | app.pdf_extractor | Successfully extracted text from page 8
2025-04-28 11:56:13,348 | INFO     | app.pdf_extractor | Total extracted text length: 3574 characters
2025-04-28 11:56:14,127 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:56:14,128 | INFO     | app.pdf_extractor | Extracted 0 questions from PDF
2025-04-28 11:56:14,128 | INFO     | app.views | Extracted 0 questions
2025-04-28 11:56:14,128 | ERROR    | app.views | Invalid extracted data format
2025-04-28 11:56:14,128 | INFO     | app.views | Successfully serialized exam_dict to JSON: 1360 characters
2025-04-28 11:56:14,128 | INFO     | app.views | Rendering OCR extracted view with 5 questions
2025-04-28 11:57:24,190 | INFO     | app.views | grade_exam view called
2025-04-28 11:57:24,191 | INFO     | app.views | Received 5 questions for grading
2025-04-28 11:57:27,658 | INFO     | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-04-28 11:57:28,732 | INFO     | app.utils.evaluator | Starting exam evaluation for 5 questions
2025-04-28 11:57:30,368 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:57:32,087 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:57:33,945 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:57:36,067 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:57:38,115 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-28 11:57:38,117 | INFO     | app.utils.evaluator | Completed exam evaluation. Total Score: 47
2025-04-28 11:57:40,111 | INFO     | app.views | [DEBUG] output view
